label,fdcQuery,portion_g,notes
pizza,cheese pizza,140,1 slice
hamburger,burger patty with bun,170,fast-food style
hot dog,hot dog with bun,120,beef or pork
french fries,french fries fast food,117,medium serving
apple pie,apple pie,125,1 slice
banana bread,banana bread,60,1 slice
caesar salad,caesar salad with dressing,200,with croutons
ramen,ramen prepared,475,restaurant bowl
pho,pho beef,500,restaurant bowl
sushi,sushi assorted,210,6–8 pieces
sashimi,salmon sashimi,85,3–4 pieces
taco,taco beef hard shell,100,1 taco
burrito,burrito beef,300,regular size
nachos,nachos with cheese,150,appetizer share
fried rice,fried rice vegetable,200,1 cup
pad thai,pad thai chicken,300,restaurant portion
spaghetti bolognese,spaghetti with meat sauce,250,1 plate
carbonara,spaghetti carbonara,250,1 plate
lasagna,lasagna with meat,200,1 slice
pancakes,pancakes with syrup,150,2 medium
waffles,waffle plain,75,1 round
omelette,omelet cheese,120,2 eggs
scrambled eggs,scrambled eggs,110,2 eggs
grilled chicken,grilled chicken breast cooked,100,skinless
roast beef,roast beef cooked,85,3 oz
steak,beef steak grilled,170,6 oz
salmon,salmon fillet cooked,140,5 oz
tuna salad,tuna salad with mayo,120,1/2 cup
greek salad,greek salad with feta,220,restaurant side
hummus,hummus,60,1/4 cup
falafel,falafel,90,3 pieces
shawarma,chicken shawarma wrap,300,regular
curry,thai red curry chicken,300,with rice
butter chicken,butter chicken,300,with sauce
biryani,chicken biryani,300,restaurant portion
bibimbap,bibimbap beef,400,with rice and egg
kimchi stew,kimchi jjigae,350,stew bowl
miso soup,miso soup,240,1 cup
clam chowder,new england clam chowder,240,1 cup
chili,chili with beans,240,1 cup
oatmeal,oatmeal cooked with water,234,1 cup
yogurt parfait,yogurt parfait with granola and fruit,200,8 oz cup
smoothie bowl,acai bowl with granola,300,typical cafe bowl
avocado toast,avocado toast,120,1 slice
bagel with cream cheese,bagel with cream cheese,150,1 bagel + spread
chocolate cake,chocolate cake with frosting,125,1 slice
brownie,brownie,60,1 square
ice cream,vanilla ice cream,132,1 cup
donut,glazed donut,75,1 donut
croissant,croissant butter,57,1 piece
chicken wings,chicken wings fried,85,3 pieces
fried chicken,fried chicken breast,150,1 piece
chicken nuggets,chicken nuggets,100,6 pieces
fish and chips,fish and chips,300,1 serving
onion rings,onion rings,100,10 rings
mozzarella sticks,mozzarella sticks,100,4 pieces
buffalo wings,buffalo wings,85,3 pieces
chicken tenders,chicken tenders,100,2 pieces
